Id_pedido,Id_venta,Id_mesa,Id_platillo,Cantidad_platillo,Subtotal
153,77,11,1,1,10500
154,77,11,12,1,14000
155,78,17,17,3,9000
156,78,17,1,1,10500
157,79,10,14,3,22500
158,79,10,18,1,16000
159,80,24,11,1,11500
160,80,24,19,2,36000
161,81,19,10,2,23000
162,81,19,16,1,4000
163,82,15,5,2,27000
164,82,15,13,1,9900
165,83,3,20,3,37500
166,83,3,7,1,8900
167,84,1,10,2,23000
168,84,1,14,1,7500
169,85,22,1,1,10500
170,85,22,8,2,18400
171,86,18,16,2,8000
172,86,18,2,3,10500
173,87,15,10,2,23000
174,87,15,11,1,11500
175,88,11,1,1,10500
176,88,11,12,1,14000
177,89,17,17,3,9000
178,89,17,1,1,10500
179,90,10,14,3,22500
180,90,10,18,1,16000
181,91,24,11,1,11500
182,91,24,19,2,36000
183,92,19,10,2,23000
184,92,19,16,1,4000
185,93,15,5,2,27000
186,93,15,13,1,9900
187,94,3,20,3,37500
188,94,3,7,1,8900
189,95,1,10,2,23000
190,95,1,14,1,7500
191,96,22,1,1,10500
192,96,22,8,2,18400
193,97,18,16,2,8000
194,97,18,2,3,10500
195,98,15,10,2,23000
196,98,15,11,1,11500
197,99,11,1,1,10500
198,99,11,12,1,14000
199,100,17,17,3,9000
200,100,17,1,1,10500
201,101,10,14,3,22500
202,101,10,18,1,16000
203,102,24,11,1,11500
204,102,24,19,2,36000
205,103,19,10,2,23000
206,103,19,16,1,4000
207,104,15,5,2,27000
208,104,15,13,1,9900
209,105,3,20,3,37500
210,105,3,7,1,8900
211,106,1,10,2,23000
212,106,1,14,1,7500
213,107,22,1,1,10500
214,107,22,8,2,18400
215,108,18,16,2,8000
216,108,18,2,3,10500
217,109,15,10,2,23000
218,109,15,11,1,11500
219,110,11,1,1,10500
220,110,11,12,1,14000
221,111,17,17,3,9000
222,111,17,1,1,10500
223,112,10,14,3,22500
224,112,10,18,1,16000
225,113,24,11,1,11500
226,113,24,19,2,36000
227,114,19,10,2,23000
228,114,19,16,1,4000
229,115,15,5,2,27000
230,115,15,13,1,9900
231,116,3,20,3,37500
232,116,3,7,1,8900
233,117,1,10,2,23000
234,117,1,14,1,7500
235,118,22,1,1,10500
236,118,22,8,2,18400
237,119,18,16,2,8000
238,119,18,2,3,10500
239,120,15,10,2,23000
240,120,15,11,1,11500
241,121,11,1,1,10500
242,121,11,12,1,14000
243,122,17,17,3,9000
244,122,17,1,1,10500
245,123,10,14,3,22500
246,123,10,18,1,16000
247,124,24,11,1,11500
248,124,24,19,2,36000
249,125,19,10,2,23000
250,125,19,16,1,4000
251,126,15,5,2,27000
252,126,15,13,1,9900
253,127,3,20,3,37500
254,127,3,7,1,8900
255,128,1,10,2,23000
256,128,1,14,1,7500
257,129,22,1,1,10500
258,129,22,8,2,18400
259,130,18,16,2,8000
260,130,18,2,3,10500
261,131,15,10,2,23000
262,131,15,11,1,11500
263,132,11,1,1,10500
264,132,11,12,1,14000
265,133,17,17,3,9000
266,133,17,1,1,10500
267,134,10,14,3,22500
268,134,10,18,1,16000
269,135,24,11,1,11500
270,135,24,19,2,36000
271,136,19,10,2,23000
272,136,19,16,1,4000
273,137,15,5,2,27000
274,137,15,13,1,9900
275,138,3,20,3,37500
276,138,3,7,1,8900
277,139,1,10,2,23000
278,139,1,14,1,7500
279,140,22,1,1,10500
280,140,22,8,2,18400
281,141,18,16,2,8000
282,141,18,2,3,10500
283,142,15,10,2,23000
284,142,15,11,1,11500
285,143,11,1,1,10500
286,143,11,12,1,14000
287,144,17,17,3,9000
288,144,17,1,1,10500
289,145,10,14,3,22500
290,145,10,18,1,16000
291,146,24,11,1,11500
292,146,24,19,2,36000
293,147,19,10,2,23000
294,147,19,16,1,4000
295,148,15,5,2,27000
296,148,15,13,1,9900
297,149,3,20,3,37500
298,149,3,7,1,8900
299,150,1,10,2,23000
300,150,1,14,1,7500
301,151,22,1,1,10500
302,151,22,8,2,18400
303,152,18,16,2,8000
304,152,18,2,3,10500
305,153,15,10,2,23000
306,153,15,11,1,11500
307,154,11,1,1,10500
308,154,11,12,1,14000
309,155,17,17,3,9000
310,155,17,1,1,10500
311,156,10,14,3,22500
312,156,10,18,1,16000
313,157,24,11,1,11500
314,157,24,19,2,36000
315,158,19,10,2,23000
316,158,19,16,1,4000
317,159,15,5,2,27000
318,159,15,13,1,9900
319,160,3,20,3,37500
320,160,3,7,1,8900
321,161,1,10,2,23000
322,161,1,14,1,7500
323,162,22,1,1,10500
324,162,22,8,2,18400
325,163,18,16,2,8000
326,163,18,2,3,10500
327,164,15,10,2,23000
328,164,15,11,1,11500
329,165,11,1,1,10500
330,165,11,12,1,14000
331,166,17,17,3,9000
332,166,17,1,1,10500
333,167,10,14,3,22500
334,167,10,18,1,16000
335,168,24,11,1,11500
336,168,24,19,2,36000
337,169,19,10,2,23000
338,169,19,16,1,4000
339,170,15,5,2,27000
340,170,15,13,1,9900
341,171,3,20,3,37500
342,171,3,7,1,8900
343,172,1,10,2,23000
344,172,1,14,1,7500
345,173,22,1,1,10500
346,173,22,8,2,18400
347,174,18,16,2,8000
348,174,18,2,3,10500
349,175,15,10,2,23000
350,175,15,11,1,11500
351,176,11,1,1,10500
352,176,11,12,1,14000
353,177,17,17,3,9000
354,177,17,1,1,10500
355,178,10,14,3,22500
356,178,10,18,1,16000
357,179,24,11,1,11500
358,179,24,19,2,36000
359,180,19,10,2,23000
360,180,19,16,1,4000
361,181,15,5,2,27000
362,181,15,13,1,9900
363,182,3,20,3,37500
364,182,3,7,1,8900
365,183,1,10,2,23000
366,183,1,14,1,7500
367,184,22,1,1,10500
368,184,22,8,2,18400
369,185,18,16,2,8000
370,185,18,2,3,10500
371,186,15,10,2,23000
372,186,15,11,1,11500
373,187,11,1,1,10500
374,187,11,12,1,14000
375,188,17,17,3,9000
376,188,17,1,1,10500
377,189,10,14,3,22500
378,189,10,18,1,16000
379,190,24,11,1,11500
380,190,24,19,2,36000
381,191,19,10,2,23000
382,191,19,16,1,4000
383,192,15,5,2,27000
384,192,15,13,1,9900
385,193,3,20,3,37500
386,193,3,7,1,8900
387,194,1,10,2,23000
388,194,1,14,1,7500
389,195,22,1,1,10500
390,195,22,8,2,18400
391,196,18,16,2,8000
392,196,18,2,3,10500
393,197,15,10,2,23000
394,197,15,11,1,11500
395,198,11,1,1,10500
396,198,11,12,1,14000
397,199,17,17,3,9000
398,199,17,1,1,10500
399,200,10,14,3,22500
400,200,10,18,1,16000
401,201,24,11,1,11500
402,201,24,19,2,36000
403,202,19,10,2,23000
404,202,19,16,1,4000
405,203,15,5,2,27000
406,203,15,13,1,9900
407,204,3,20,3,37500
408,204,3,7,1,8900
409,205,1,10,2,23000
410,205,1,14,1,7500
411,206,22,1,1,10500
412,206,22,8,2,18400
413,207,18,16,2,8000
414,207,18,2,3,10500
415,208,15,10,2,23000
416,208,15,11,1,11500
417,209,11,1,1,10500
418,209,11,12,1,14000
419,210,17,17,3,9000
420,210,17,1,1,10500
421,211,10,14,3,22500
422,211,10,18,1,16000
423,212,24,11,1,11500
424,212,24,19,2,36000
425,213,19,10,2,23000
426,213,19,16,1,4000
427,214,15,5,2,27000
428,214,15,13,1,9900
429,215,3,20,3,37500
430,215,3,7,1,8900
431,216,1,10,2,23000
432,216,1,14,1,7500
433,217,22,1,1,10500
434,217,22,8,2,18400
435,218,18,16,2,8000
436,218,18,2,3,10500
437,219,15,10,2,23000
438,219,15,11,1,11500
439,220,11,1,1,10500
440,220,11,12,1,14000
441,221,17,17,3,9000
442,221,17,1,1,10500
443,222,10,14,3,22500
444,222,10,18,1,16000
445,223,24,11,1,11500
446,223,24,19,2,36000
447,224,19,10,2,23000
448,224,19,16,1,4000
449,225,15,5,2,27000
450,225,15,13,1,9900
451,226,3,20,3,37500
452,226,3,7,1,8900
453,227,1,10,2,23000
454,227,1,14,1,7500
455,228,22,1,1,10500
456,228,22,8,2,18400
457,229,18,16,2,8000
458,229,18,2,3,10500
459,230,15,10,2,23000
460,230,15,11,1,11500
461,231,11,1,1,10500
462,231,11,12,1,14000
463,232,17,17,3,9000
464,232,17,1,1,10500
465,233,10,14,3,22500
466,233,10,18,1,16000
467,234,24,11,1,11500
468,234,24,19,2,36000
469,235,19,10,2,23000
470,235,19,16,1,4000
471,236,15,5,2,27000
472,236,15,13,1,9900
473,237,3,20,3,37500
474,237,3,7,1,8900
475,238,1,10,2,23000
476,238,1,14,1,7500
477,239,22,1,1,10500
478,239,22,8,2,18400
479,240,18,16,2,8000
480,240,18,2,3,10500
481,241,15,10,2,23000
482,241,15,11,1,11500
483,242,11,1,1,10500
484,242,11,12,1,14000
485,243,17,17,3,9000
486,243,17,1,1,10500
487,244,10,14,3,22500
488,244,10,18,1,16000
489,245,24,11,1,11500
490,245,24,19,2,36000
491,246,19,10,2,23000
492,246,19,16,1,4000
493,247,15,5,2,27000
494,247,15,13,1,9900
495,248,3,20,3,37500
496,248,3,7,1,8900
497,249,1,10,2,23000
498,249,1,14,1,7500
499,250,22,1,1,10500
500,250,22,8,2,18400
501,251,18,16,2,8000
502,251,18,2,3,10500
503,252,15,10,2,23000
504,252,15,11,1,11500
505,253,11,1,1,10500
506,253,11,12,1,14000
507,254,17,17,3,9000
508,254,17,1,1,10500
509,255,10,14,3,22500
510,255,10,18,1,16000
511,256,24,11,1,11500
512,256,24,19,2,36000
513,257,19,10,2,23000
514,257,19,16,1,4000
515,258,15,5,2,27000
516,258,15,13,1,9900
517,259,3,20,3,37500
518,259,3,7,1,8900
519,260,1,10,2,23000
520,260,1,14,1,7500
521,261,22,1,1,10500
522,261,22,8,2,18400
523,262,18,16,2,8000
524,262,18,2,3,10500
525,263,15,10,2,23000
526,263,15,11,1,11500
527,264,11,1,1,10500
528,264,11,12,1,14000
529,265,17,17,3,9000
530,265,17,1,1,10500
531,266,10,14,3,22500
532,266,10,18,1,16000
533,267,24,11,1,11500
534,267,24,19,2,36000
535,268,19,10,2,23000
536,268,19,16,1,4000
537,269,15,5,2,27000
538,269,15,13,1,9900
539,270,3,20,3,37500
540,270,3,7,1,8900
541,271,1,10,2,23000
542,271,1,14,1,7500
543,272,22,1,1,10500
544,272,22,8,2,18400
545,273,18,16,2,8000
546,273,18,2,3,10500
547,274,15,10,2,23000
548,274,15,11,1,11500
549,275,11,1,1,10500
550,275,11,12,1,14000
551,276,17,17,3,9000
552,276,17,1,1,10500
553,277,10,14,3,22500
554,277,10,18,1,16000
555,278,24,11,1,11500
556,278,24,19,2,36000
557,279,19,10,2,23000
558,279,19,16,1,4000
559,280,15,5,2,27000
560,280,15,13,1,9900
561,281,3,20,3,37500
562,281,3,7,1,8900
563,282,1,10,2,23000
564,282,1,14,1,7500
565,283,22,1,1,10500
566,283,22,8,2,18400
567,284,18,16,2,8000
568,284,18,2,3,10500
569,285,15,10,2,23000
570,285,15,11,1,11500
571,286,11,1,1,10500
572,286,11,12,1,14000
573,287,17,17,3,9000
574,287,17,1,1,10500
575,288,10,14,3,22500
576,288,10,18,1,16000
577,289,24,11,1,11500
578,289,24,19,2,36000
579,290,19,10,2,23000
580,290,19,16,1,4000
581,291,15,5,2,27000
582,291,15,13,1,9900
583,292,3,20,3,37500
584,292,3,7,1,8900
585,293,1,10,2,23000
586,293,1,14,1,7500
587,294,22,1,1,10500
588,294,22,8,2,18400
589,295,18,16,2,8000
590,295,18,2,3,10500
591,296,15,10,2,23000
592,296,15,11,1,11500
593,297,11,1,1,10500
594,297,11,12,1,14000
595,298,17,17,3,9000
596,298,17,1,1,10500
597,299,10,14,3,22500
598,299,10,18,1,16000
599,300,24,11,1,11500
600,300,24,19,2,36000
601,301,19,10,2,23000
602,301,19,16,1,4000
603,302,15,5,2,27000
604,302,15,13,1,9900
605,303,3,20,3,37500
606,303,3,7,1,8900
607,304,1,10,2,23000
608,304,1,14,1,7500
609,305,22,1,1,10500
610,305,22,8,2,18400
611,306,18,16,2,8000
612,306,18,2,3,10500
613,307,15,10,2,23000
614,307,15,11,1,11500
615,308,11,1,1,10500
616,308,11,12,1,14000
617,309,17,17,3,9000
618,309,17,1,1,10500
619,310,10,14,3,22500
620,310,10,18,1,16000
621,311,24,11,1,11500
622,311,24,19,2,36000
623,312,19,10,2,23000
624,312,19,16,1,4000
625,313,15,5,2,27000
626,313,15,13,1,9900
627,314,3,20,3,37500
628,314,3,7,1,8900
629,315,1,10,2,23000
630,315,1,14,1,7500
631,316,22,1,1,10500
632,316,22,8,2,18400
633,317,18,16,2,8000
634,317,18,2,3,10500
635,318,15,10,2,23000
636,318,15,11,1,11500
637,319,11,1,1,10500
638,319,11,12,1,14000
639,320,17,17,3,9000
640,320,17,1,1,10500
641,321,10,14,3,22500
642,321,10,18,1,16000
643,322,24,11,1,11500
644,322,24,19,2,36000
645,323,19,10,2,23000
646,323,19,16,1,4000
647,324,15,5,2,27000
648,324,15,13,1,9900
649,325,3,20,3,37500
650,325,3,7,1,8900
651,326,1,10,2,23000
652,326,1,14,1,7500
653,327,22,1,1,10500
654,327,22,8,2,18400
655,328,18,16,2,8000
656,328,18,2,3,10500
657,329,15,10,2,23000
658,329,15,11,1,11500
659,330,11,1,1,10500
660,330,11,12,1,14000
661,331,17,17,3,9000
662,331,17,1,1,10500
663,332,10,14,3,22500
664,332,10,18,1,16000
665,333,24,11,1,11500
666,333,24,19,2,36000
667,334,19,10,2,23000
668,334,19,16,1,4000
669,335,15,5,2,27000
670,335,15,13,1,9900
671,336,3,20,3,37500
672,336,3,7,1,8900
673,337,1,10,2,23000
674,337,1,14,1,7500
675,338,22,1,1,10500
676,338,22,8,2,18400
677,339,18,16,2,8000
678,339,18,2,3,10500
679,340,15,10,2,23000
680,340,15,11,1,11500
681,341,11,1,1,10500
682,341,11,12,1,14000
683,342,17,17,3,9000
684,342,17,1,1,10500
685,343,10,14,3,22500
686,343,10,18,1,16000
687,344,24,11,1,11500
688,344,24,19,2,36000
689,345,19,10,2,23000
690,345,19,16,1,4000
691,346,15,5,2,27000
692,346,15,13,1,9900
693,347,3,20,3,37500
694,347,3,7,1,8900
695,348,1,10,2,23000
696,348,1,14,1,7500
697,349,22,1,1,10500
698,349,22,8,2,18400
699,350,18,16,2,8000
700,350,18,2,3,10500
701,351,15,10,2,23000
702,351,15,11,1,11500
703,352,11,1,1,10500
704,352,11,12,1,14000
705,353,17,17,3,9000
706,353,17,1,1,10500
707,354,10,14,3,22500
708,354,10,18,1,16000
709,355,24,11,1,11500
710,355,24,19,2,36000
711,356,19,10,2,23000
712,356,19,16,1,4000
713,357,15,5,2,27000
714,357,15,13,1,9900
715,358,3,20,3,37500
716,358,3,7,1,8900
717,359,1,10,2,23000
718,359,1,14,1,7500
719,360,22,1,1,10500
720,360,22,8,2,18400
721,361,18,16,2,8000
722,361,18,2,3,10500
723,362,15,10,2,23000
724,362,15,11,1,11500
725,363,11,1,1,10500
726,363,11,12,1,14000
727,364,17,17,3,9000
728,364,17,1,1,10500
729,365,10,14,3,22500
730,365,10,18,1,16000
731,366,24,11,1,11500
732,366,24,19,2,36000
733,367,19,10,2,23000
734,367,19,16,1,4000
735,368,15,5,2,27000
736,368,15,13,1,9900
737,369,3,20,3,37500
780,387,10,18,1,16000
781,388,24,11,1,11500
782,388,24,19,2,36000
783,389,19,10,2,23000
784,389,19,16,1,4000
785,390,15,5,2,27000
786,390,15,13,1,9900
787,391,3,20,3,37500
788,391,3,7,1,8900
789,392,1,10,2,23000
790,392,1,14,1,7500
791,393,22,1,1,10500
792,393,22,8,2,18400
793,394,18,16,2,8000
794,394,18,2,3,10500
795,395,15,10,2,23000
796,395,15,11,1,11500
797,396,11,1,1,10500
798,396,11,12,1,14000
799,397,17,17,3,9000
800,397,17,1,1,10500
801,398,10,14,3,22500
802,398,10,18,1,16000
803,399,24,11,1,11500
804,399,24,19,2,36000
805,400,19,10,2,23000
806,400,19,16,1,4000
807,401,15,5,2,27000
808,401,15,13,1,9900
809,402,3,20,3,37500
810,402,3,7,1,8900
811,403,1,10,2,23000
812,403,1,14,1,7500
813,404,22,1,1,10500
814,404,22,8,2,18400
815,405,18,16,2,8000
816,405,18,2,3,10500
817,406,15,10,2,23000
818,406,15,11,1,11500
819,407,11,1,1,10500
820,407,11,12,1,14000
821,408,17,17,3,9000
822,408,17,1,1,10500
823,409,10,14,3,22500
824,409,10,18,1,16000
825,410,24,11,1,11500
826,410,24,19,2,36000
827,411,19,10,2,23000
828,411,19,16,1,4000
829,412,15,5,2,27000
830,412,15,13,1,9900
831,413,3,20,3,37500
832,413,3,7,1,8900
833,414,1,10,2,23000
834,414,1,14,1,7500
835,415,22,1,1,10500
836,415,22,8,2,18400
837,416,18,16,2,8000
838,416,18,2,3,10500
839,417,15,10,2,23000
840,417,15,11,1,11500
841,418,11,1,1,10500
842,418,11,12,1,14000
843,419,17,17,3,9000
844,419,17,1,1,10500
845,420,10,14,3,22500
846,420,10,18,1,16000
847,421,24,11,1,11500
848,421,24,19,2,36000
849,422,19,10,2,23000
850,422,19,16,1,4000
851,423,15,5,2,27000
852,423,15,13,1,9900
853,424,3,20,3,37500
854,424,3,7,1,8900
855,425,1,10,2,23000
856,425,1,14,1,7500
857,426,22,1,1,10500
858,426,22,8,2,18400
859,427,18,16,2,8000
860,427,18,2,3,10500
861,428,15,10,2,23000
862,428,15,11,1,11500
863,429,11,1,1,10500
864,429,11,12,1,14000
865,430,17,17,3,9000
866,430,17,1,1,10500
867,431,10,14,3,22500
868,431,10,18,1,16000
869,432,24,11,1,11500
870,432,24,19,2,36000
871,433,19,10,2,23000
872,433,19,16,1,4000
873,434,15,5,2,27000
874,434,15,13,1,9900
875,435,3,20,3,37500
876,435,3,7,1,8900
877,436,1,10,2,23000
878,436,1,14,1,7500
879,437,22,1,1,10500
880,437,22,8,2,18400
881,438,18,16,2,8000
882,438,18,2,3,10500
883,439,15,10,2,23000
884,439,15,11,1,11500
885,440,11,1,1,10500
886,440,11,12,1,14000
887,441,17,17,3,9000
888,441,17,1,1,10500
889,442,10,14,3,22500
890,442,10,18,1,16000
891,443,24,11,1,11500
892,443,24,19,2,36000
893,444,19,10,2,23000
894,444,19,16,1,4000
895,445,15,5,2,27000
896,445,15,13,1,9900
897,446,3,20,3,37500
898,446,3,7,1,8900
899,447,1,10,2,23000
900,447,1,14,1,7500
901,448,22,1,1,10500
902,448,22,8,2,18400
903,449,18,16,2,8000
904,449,18,2,3,10500
905,450,15,10,2,23000
906,450,15,11,1,11500
907,451,11,1,1,10500
908,451,11,12,1,14000
909,452,17,17,3,9000
910,452,17,1,1,10500
911,453,10,14,3,22500
912,453,10,18,1,16000
913,454,24,11,1,11500
914,454,24,19,2,36000
915,455,19,10,2,23000
916,455,19,16,1,4000
917,456,15,5,2,27000
918,456,15,13,1,9900
919,457,3,20,3,37500
920,457,3,7,1,8900
921,458,1,10,2,23000
922,458,1,14,1,7500
923,459,22,1,1,10500
924,459,22,8,2,18400
925,460,18,16,2,8000
926,460,18,2,3,10500
927,461,15,10,2,23000
928,461,15,11,1,11500
929,462,11,1,1,10500
930,462,11,12,1,14000
931,463,17,17,3,9000
932,463,17,1,1,10500
933,464,10,14,3,22500
934,464,10,18,1,16000
935,465,24,11,1,11500
936,465,24,19,2,36000
937,466,19,10,2,23000
938,466,19,16,1,4000
939,467,15,5,2,27000
940,467,15,13,1,9900
941,468,3,20,3,37500
942,468,3,7,1,8900
943,469,1,10,2,23000
944,469,1,14,1,7500
945,470,22,1,1,10500
946,470,22,8,2,18400
947,471,18,16,2,8000
948,471,18,2,3,10500
949,472,15,10,2,23000
950,472,15,11,1,11500
951,473,11,1,1,10500
952,473,11,12,1,14000
953,474,17,17,3,9000
954,474,17,1,1,10500
955,475,10,14,3,22500
956,475,10,18,1,16000
957,476,24,11,1,11500
958,476,24,19,2,36000
959,477,19,10,2,23000
960,477,19,16,1,4000
961,478,15,5,2,27000
962,478,15,13,1,9900
963,479,3,20,3,37500
964,479,3,7,1,8900
965,480,1,10,2,23000
966,480,1,14,1,7500
967,481,22,1,1,10500
968,481,22,8,2,18400
969,482,18,16,2,8000
970,482,18,2,3,10500
971,483,15,10,2,23000
972,483,15,11,1,11500
973,484,11,1,1,10500
974,484,11,12,1,14000
975,485,17,17,3,9000
976,485,17,1,1,10500
977,486,10,14,3,22500
978,486,10,18,1,16000
979,487,24,11,1,11500
980,487,24,19,2,36000
981,488,19,10,2,23000
982,488,19,16,1,4000
983,489,15,5,2,27000
984,489,15,13,1,9900
985,490,3,20,3,37500
986,490,3,7,1,8900
987,491,1,10,2,23000
988,491,1,14,1,7500
989,492,22,1,1,10500
990,492,22,8,2,18400
991,493,18,16,2,8000
992,493,18,2,3,10500
993,494,15,10,2,23000
994,494,15,11,1,11500
995,495,11,1,1,10500
996,495,11,12,1,14000
997,496,17,17,3,9000
998,496,17,1,1,10500
999,497,10,14,3,22500
1000,497,10,18,1,16000
