Id_ventas,Id_metodo,Id_garzon,Fecha,Propina,Total_venta
95,4,6,2024-06-16 19:15:00,3050,30500
96,1,10,2024-06-29 22:30:00,2890,28900
97,2,7,2024-06-07 19:45:00,1850,18500
98,1,10,2024-06-21 21:15:00,3450,34500
99,3,1,2024-06-30 19:30:00,2450,24500
100,3,10,2024-06-13 19:45:00,1950,19500
101,4,4,2024-06-22 21:15:00,3850,38500
102,3,1,2024-06-25 18:30:00,4750,47500
103,2,7,2024-06-04 21:45:00,2700,27000
104,3,9,2024-06-18 20:00:00,3690,36900
105,2,4,2024-06-11 20:30:00,4640,46400
106,4,6,2024-06-24 19:15:00,3050,30500
107,1,10,2024-06-08 22:30:00,2890,28900
108,2,7,2024-06-02 19:45:00,1850,18500
109,1,10,2024-06-15 21:15:00,3450,34500
110,3,1,2024-06-28 19:30:00,2450,24500
111,3,10,2024-06-06 19:45:00,1950,19500
112,4,4,2024-06-20 21:15:00,3850,38500
113,3,1,2024-06-12 18:30:00,4750,47500
114,2,7,2024-06-23 21:45:00,2700,27000
115,3,9,2024-06-09 20:00:00,3690,36900
116,2,4,2024-06-27 20:30:00,4640,46400
117,4,6,2024-06-03 19:15:00,3050,30500
118,1,10,2024-06-16 22:30:00,2890,28900
119,2,7,2024-06-29 19:45:00,1850,18500
120,1,10,2024-06-07 21:15:00,3450,34500
121,3,1,2024-06-21 19:30:00,2450,24500
122,3,10,2024-06-30 19:45:00,1950,19500
123,4,4,2024-06-13 21:15:00,3850,38500
124,3,1,2024-06-22 18:30:00,4750,47500
125,2,7,2024-06-25 21:45:00,2700,27000
126,3,9,2024-06-04 20:00:00,3690,36900
127,2,4,2024-06-18 20:30:00,4640,46400
128,4,6,2024-06-11 19:15:00,3050,30500
129,1,10,2024-06-24 22:30:00,2890,28900
130,2,7,2024-06-08 19:45:00,1850,18500
131,1,10,2024-06-02 21:15:00,3450,34500
132,3,1,2024-06-15 19:30:00,2450,24500
133,3,10,2024-06-28 19:45:00,1950,19500
134,4,4,2024-06-06 21:15:00,3850,38500
135,3,1,2024-06-20 18:30:00,4750,47500
136,2,7,2024-06-12 21:45:00,2700,27000
137,3,9,2024-06-23 20:00:00,3690,36900
138,2,4,2024-06-09 20:30:00,4640,46400
139,4,6,2024-06-27 19:15:00,3050,30500
140,1,10,2024-06-03 22:30:00,2890,28900
141,2,7,2024-06-16 19:45:00,1850,18500
142,1,10,2024-06-29 21:15:00,3450,34500
143,3,1,2024-06-07 19:30:00,2450,24500
144,3,10,2024-06-21 19:45:00,1950,19500
145,4,4,2024-06-30 21:15:00,3850,38500
146,3,1,2024-06-13 18:30:00,4750,47500
147,2,7,2024-06-22 21:45:00,2700,27000
148,3,9,2024-06-25 20:00:00,3690,36900
149,2,4,2024-06-04 20:30:00,4640,46400
150,4,6,2024-06-18 19:15:00,3050,30500
151,1,10,2024-06-11 22:30:00,2890,28900
152,2,7,2024-06-24 19:45:00,1850,18500
153,1,10,2024-06-08 21:15:00,3450,34500
154,3,1,2024-06-26 19:30:00,2450,24500
155,3,10,2024-06-09 19:45:00,1950,19500
156,4,4,2024-06-27 21:15:00,3850,38500
157,3,1,2024-06-05 18:30:00,4750,47500
158,2,7,2024-06-01 21:45:00,2700,27000
159,3,9,2024-06-10 20:00:00,3690,36900
160,2,4,2024-06-19 20:30:00,4640,46400
161,4,6,2024-06-08 19:15:00,3050,30500
162,1,10,2024-06-02 22:30:00,2890,28900
163,2,7,2024-06-15 19:45:00,1850,18500
164,1,10,2024-06-28 21:15:00,3450,34500
165,3,1,2024-06-06 19:30:00,2450,24500
166,3,10,2024-06-20 19:45:00,1950,19500
167,4,4,2024-06-12 21:15:00,3850,38500
168,3,1,2024-06-23 18:30:00,4750,47500
169,2,7,2024-06-09 21:45:00,2700,27000
170,3,9,2024-06-27 20:00:00,3690,36900
171,2,4,2024-06-03 20:30:00,4640,46400
172,4,6,2024-06-16 19:15:00,3050,30500
173,1,10,2024-06-29 22:30:00,2890,28900
174,2,7,2024-06-07 19:45:00,1850,18500
175,1,10,2024-06-21 21:15:00,3450,34500
176,3,1,2024-06-30 19:30:00,2450,24500
177,3,10,2024-06-13 19:45:00,1950,19500
178,4,4,2024-06-22 21:15:00,3850,38500
179,3,1,2024-06-25 18:30:00,4750,47500
180,2,7,2024-06-04 21:45:00,2700,27000
181,3,9,2024-06-18 20:00:00,3690,36900
182,2,4,2024-06-11 20:30:00,4640,46400
183,4,6,2024-06-24 19:15:00,3050,30500
184,1,10,2024-06-08 22:30:00,2890,28900
185,2,7,2024-06-02 19:45:00,1850,18500
186,1,10,2024-06-15 21:15:00,3450,34500
187,3,1,2024-06-28 19:30:00,2450,24500
188,3,10,2024-06-06 19:45:00,1950,19500
189,4,4,2024-06-20 21:15:00,3850,38500
190,3,1,2024-06-12 18:30:00,4750,47500
191,2,7,2024-06-23 21:45:00,2700,27000
192,3,9,2024-06-09 20:00:00,3690,36900
193,2,4,2024-06-27 20:30:00,4640,46400
194,4,6,2024-06-03 19:15:00,3050,30500
195,1,10,2024-06-16 22:30:00,2890,28900
196,2,7,2024-06-29 19:45:00,1850,18500
197,1,10,2024-06-07 21:15:00,3450,34500
198,3,1,2024-06-21 19:30:00,2450,24500
199,3,10,2024-06-30 19:45:00,1950,19500
200,4,4,2024-06-13 21:15:00,3850,38500
201,3,1,2024-06-22 18:30:00,4750,47500
202,2,7,2024-06-25 21:45:00,2700,27000
203,3,9,2024-06-04 20:00:00,3690,36900
204,2,4,2024-06-18 20:30:00,4640,46400
205,4,6,2024-06-11 19:15:00,3050,30500
206,1,10,2024-06-24 22:30:00,2890,28900
207,2,7,2024-06-08 19:45:00,1850,18500
208,1,10,2024-06-02 21:15:00,3450,34500
209,3,1,2024-06-15 19:30:00,2450,24500
210,3,10,2024-06-28 19:45:00,1950,19500
211,4,4,2024-06-06 21:15:00,3850,38500
212,3,1,2024-06-20 18:30:00,4750,47500
213,2,7,2024-06-12 21:45:00,2700,27000
214,3,9,2024-06-23 20:00:00,3690,36900
215,2,4,2024-06-09 20:30:00,4640,46400
216,4,6,2024-06-27 19:15:00,3050,30500
217,1,10,2024-06-03 22:30:00,2890,28900
218,2,7,2024-06-16 19:45:00,1850,18500
219,1,10,2024-06-29 21:15:00,3450,34500
220,3,1,2024-06-07 19:30:00,2450,24500
221,3,10,2024-06-21 19:45:00,1950,19500
222,4,4,2024-06-30 21:15:00,3850,38500
223,3,1,2024-06-13 18:30:00,4750,47500
224,2,7,2024-06-22 21:45:00,2700,27000
225,3,9,2024-06-25 20:00:00,3690,36900
226,2,4,2024-06-04 20:30:00,4640,46400
227,4,6,2024-06-18 19:15:00,3050,30500
228,1,10,2024-06-11 22:30:00,2890,28900
229,2,7,2024-06-24 19:45:00,1850,18500
230,1,10,2024-06-08 21:15:00,3450,34500
231,3,1,2024-06-26 19:30:00,2450,24500
232,3,10,2024-06-09 19:45:00,1950,19500
233,4,4,2024-06-27 21:15:00,3850,38500
234,3,1,2024-06-05 18:30:00,4750,47500
235,2,7,2024-06-01 21:45:00,2700,27000
236,3,9,2024-06-10 20:00:00,3690,36900
237,2,4,2024-06-19 20:30:00,4640,46400
238,4,6,2024-06-08 19:15:00,3050,30500
239,1,10,2024-06-02 22:30:00,2890,28900
240,2,7,2024-06-15 19:45:00,1850,18500
241,1,10,2024-06-28 21:15:00,3450,34500
242,3,1,2024-06-06 19:30:00,2450,24500
243,3,10,2024-06-20 19:45:00,1950,19500
244,4,4,2024-06-12 21:15:00,3850,38500
245,3,1,2024-06-23 18:30:00,4750,47500
246,2,7,2024-06-09 21:45:00,2700,27000
247,3,9,2024-06-27 20:00:00,3690,36900
248,2,4,2024-06-03 20:30:00,4640,46400
249,4,6,2024-06-16 19:15:00,3050,30500
250,1,10,2024-06-29 22:30:00,2890,28900
251,2,7,2024-06-07 19:45:00,1850,18500
252,1,10,2024-06-21 21:15:00,3450,34500
253,3,1,2024-06-30 19:30:00,2450,24500
254,3,10,2024-06-13 19:45:00,1950,19500
255,4,4,2024-06-22 21:15:00,3850,38500
256,3,1,2024-06-25 18:30:00,4750,47500
257,2,7,2024-06-04 21:45:00,2700,27000
258,3,9,2024-06-18 20:00:00,3690,36900
259,2,4,2024-06-11 20:30:00,4640,46400
260,4,6,2024-06-24 19:15:00,3050,30500
261,1,10,2024-06-08 22:30:00,2890,28900
262,2,7,2024-06-02 19:45:00,1850,18500
263,1,10,2024-06-15 21:15:00,3450,34500
264,3,1,2024-06-28 19:30:00,2450,24500
265,3,10,2024-06-06 19:45:00,1950,19500
266,4,4,2024-06-20 21:15:00,3850,38500
267,3,1,2024-06-12 18:30:00,4750,47500
268,2,7,2024-06-23 21:45:00,2700,27000
269,3,9,2024-06-09 20:00:00,3690,36900
270,2,4,2024-06-27 20:30:00,4640,46400
271,4,6,2024-06-03 19:15:00,3050,30500
272,1,10,2024-06-16 22:30:00,2890,28900
273,2,7,2024-06-29 19:45:00,1850,18500
274,1,10,2024-06-07 21:15:00,3450,34500
275,3,1,2024-06-21 19:30:00,2450,24500
276,3,10,2024-06-30 19:45:00,1950,19500
277,4,4,2024-06-13 21:15:00,3850,38500
278,3,1,2024-06-22 18:30:00,4750,47500
279,2,7,2024-06-25 21:45:00,2700,27000
280,3,9,2024-06-04 20:00:00,3690,36900
281,2,4,2024-06-18 20:30:00,4640,46400
282,4,6,2024-06-11 19:15:00,3050,30500
283,1,10,2024-06-24 22:30:00,2890,28900
284,2,7,2024-06-08 19:45:00,1850,18500
285,1,10,2024-06-02 21:15:00,3450,34500
286,3,1,2024-06-15 19:30:00,2450,24500
287,3,10,2024-06-28 19:45:00,1950,19500
288,4,4,2024-06-06 21:15:00,3850,38500
289,3,1,2024-06-20 18:30:00,4750,47500
290,2,7,2024-06-12 21:45:00,2700,27000
291,3,9,2024-06-23 20:00:00,3690,36900
292,2,4,2024-06-09 20:30:00,4640,46400
293,4,6,2024-06-27 19:15:00,3050,30500
294,1,10,2024-06-03 22:30:00,2890,28900
295,2,7,2024-06-16 19:45:00,1850,18500
296,1,10,2024-06-29 21:15:00,3450,34500
297,3,1,2024-06-07 19:30:00,2450,24500
298,3,10,2024-06-21 19:45:00,1950,19500
299,4,4,2024-06-30 21:15:00,3850,38500
300,3,1,2024-06-13 18:30:00,4750,47500
301,2,7,2024-06-22 21:45:00,2700,27000
302,3,9,2024-06-25 20:00:00,3690,36900
303,2,4,2024-06-04 20:30:00,4640,46400
304,4,6,2024-06-18 19:15:00,3050,30500
305,1,10,2024-06-11 22:30:00,2890,28900
306,2,7,2024-06-24 19:45:00,1850,18500
307,1,10,2024-06-08 21:15:00,3450,34500
308,3,1,2024-06-26 19:30:00,2450,24500
309,3,10,2024-06-09 19:45:00,1950,19500
310,4,4,2024-06-27 21:15:00,3850,38500
311,3,1,2024-06-05 18:30:00,4750,47500
312,2,7,2024-06-01 21:45:00,2700,27000
313,3,9,2024-06-10 20:00:00,3690,36900
314,2,4,2024-06-19 20:30:00,4640,46400
315,4,6,2024-06-08 19:15:00,3050,30500
316,1,10,2024-06-02 22:30:00,2890,28900
317,2,7,2024-06-15 19:45:00,1850,18500
318,1,10,2024-06-28 21:15:00,3450,34500
319,3,1,2024-06-06 19:30:00,2450,24500
320,3,10,2024-06-20 19:45:00,1950,19500
321,4,4,2024-06-12 21:15:00,3850,38500
322,3,1,2024-06-23 18:30:00,4750,47500
323,2,7,2024-06-09 21:45:00,2700,27000
324,3,9,2024-06-27 20:00:00,3690,36900
325,2,4,2024-06-03 20:30:00,4640,46400
326,4,6,2024-06-16 19:15:00,3050,30500
327,1,10,2024-06-29 22:30:00,2890,28900
328,2,7,2024-06-07 19:45:00,1850,18500
329,1,10,2024-06-21 21:15:00,3450,34500
330,3,1,2024-06-30 19:30:00,2450,24500
331,3,10,2024-06-13 19:45:00,1950,19500
332,4,4,2024-06-22 21:15:00,3850,38500
333,3,1,2024-06-25 18:30:00,4750,47500
334,2,7,2024-06-04 21:45:00,2700,27000
335,3,9,2024-06-18 20:00:00,3690,36900
336,2,4,2024-06-11 20:30:00,4640,46400
337,4,6,2024-06-24 19:15:00,3050,30500
338,1,10,2024-06-08 22:30:00,2890,28900
339,2,7,2024-06-02 19:45:00,1850,18500
340,1,10,2024-06-15 21:15:00,3450,34500
341,3,1,2024-06-28 19:30:00,2450,24500
342,3,10,2024-06-06 19:45:00,1950,19500
343,4,4,2024-06-20 21:15:00,3850,38500
344,3,1,2024-06-12 18:30:00,4750,47500
345,2,7,2024-06-23 21:45:00,2700,27000
346,3,9,2024-06-09 20:00:00,3690,36900
347,2,4,2024-06-27 20:30:00,4640,46400
348,4,6,2024-06-03 19:15:00,3050,30500
349,1,10,2024-06-16 22:30:00,2890,28900
350,2,7,2024-06-29 19:45:00,1850,18500
351,1,10,2024-06-07 21:15:00,3450,34500
352,3,1,2024-06-21 19:30:00,2450,24500
353,3,10,2024-06-30 19:45:00,1950,19500
354,4,4,2024-06-13 21:15:00,3850,38500
355,3,1,2024-06-22 18:30:00,4750,47500
356,2,7,2024-06-25 21:45:00,2700,27000
357,3,9,2024-06-04 20:00:00,3690,36900
358,2,4,2024-06-18 20:30:00,4640,46400
359,4,6,2024-06-11 19:15:00,3050,30500
360,1,10,2024-06-24 22:30:00,2890,28900
361,2,7,2024-06-08 19:45:00,1850,18500
362,1,10,2024-06-02 21:15:00,3450,34500
363,3,1,2024-06-15 19:30:00,2450,24500
364,3,10,2024-06-28 19:45:00,1950,19500
365,4,4,2024-06-06 21:15:00,3850,38500
366,3,1,2024-06-20 18:30:00,4750,47500
367,2,7,2024-06-12 21:45:00,2700,27000
368,3,9,2024-06-23 20:00:00,3690,36900
369,2,4,2024-06-09 20:30:00,4640,46400
370,4,6,2024-06-27 19:15:00,3050,30500
371,1,10,2024-06-03 22:30:00,2890,28900
372,2,7,2024-06-16 19:45:00,1850,18500
373,1,10,2024-06-29 21:15:00,3450,34500
374,3,1,2024-06-07 19:30:00,2450,24500
375,3,10,2024-06-21 19:45:00,1950,19500
376,4,4,2024-06-30 21:15:00,3850,38500
377,3,1,2024-06-13 18:30:00,4750,47500
378,2,7,2024-06-22 21:45:00,2700,27000
379,3,9,2024-06-25 20:00:00,3690,36900
380,2,4,2024-06-04 20:30:00,4640,46400
381,4,6,2024-06-18 19:15:00,3050,30500
382,1,10,2024-06-11 22:30:00,2890,28900
383,2,7,2024-06-24 19:45:00,1850,18500
384,1,10,2024-06-08 21:15:00,3450,34500
385,3,1,2024-06-26 19:30:00,2450,24500
386,3,10,2024-06-09 19:45:00,1950,19500
387,4,4,2024-06-27 21:15:00,3850,38500
388,3,1,2024-06-05 18:30:00,4750,47500
389,2,7,2024-06-01 21:45:00,2700,27000
390,3,9,2024-06-10 20:00:00,3690,36900
391,2,4,2024-06-19 20:30:00,4640,46400
392,4,6,2024-06-08 19:15:00,3050,30500
393,1,10,2024-06-02 22:30:00,2890,28900
394,2,7,2024-06-15 19:45:00,1850,18500
395,1,10,2024-06-28 21:15:00,3450,34500
396,3,1,2024-06-06 19:30:00,2450,24500
397,3,10,2024-06-20 19:45:00,1950,19500
398,4,4,2024-06-12 21:15:00,3850,38500
399,3,1,2024-06-23 18:30:00,4750,47500
400,2,7,2024-06-09 21:45:00,2700,27000
401,3,9,2024-06-27 20:00:00,3690,36900
402,2,4,2024-06-03 20:30:00,4640,46400
403,4,6,2024-06-16 19:15:00,3050,30500
404,1,10,2024-06-29 22:30:00,2890,28900
405,2,7,2024-06-07 19:45:00,1850,18500
406,1,10,2024-06-21 21:15:00,3450,34500
407,3,1,2024-06-30 19:30:00,2450,24500
408,3,10,2024-06-13 19:45:00,1950,19500
409,4,4,2024-06-22 21:15:00,3850,38500
410,3,1,2024-06-25 18:30:00,4750,47500
411,2,7,2024-06-04 21:45:00,2700,27000
412,3,9,2024-06-18 20:00:00,3690,36900
413,2,4,2024-06-11 20:30:00,4640,46400
414,4,6,2024-06-24 19:15:00,3050,30500
415,1,10,2024-06-08 22:30:00,2890,28900
416,2,7,2024-06-02 19:45:00,1850,18500
417,1,10,2024-06-15 21:15:00,3450,34500
418,3,1,2024-06-28 19:30:00,2450,24500
419,3,10,2024-06-06 19:45:00,1950,19500
420,4,4,2024-06-20 21:15:00,3850,38500
421,3,1,2024-06-12 18:30:00,4750,47500
422,2,7,2024-06-23 21:45:00,2700,27000
423,3,9,2024-06-09 20:00:00,3690,36900
424,2,4,2024-06-27 20:30:00,4640,46400
425,4,6,2024-06-03 19:15:00,3050,30500
426,1,10,2024-06-16 22:30:00,2890,28900
427,2,7,2024-06-29 19:45:00,1850,18500
428,1,10,2024-06-07 21:15:00,3450,34500
429,3,1,2024-06-21 19:30:00,2450,24500
430,3,10,2024-06-30 19:45:00,1950,19500
431,4,4,2024-06-13 21:15:00,3850,38500
432,3,1,2024-06-22 18:30:00,4750,47500
433,2,7,2024-06-25 21:45:00,2700,27000
434,3,9,2024-06-04 20:00:00,3690,36900
435,2,4,2024-06-18 20:30:00,4640,46400
436,4,6,2024-06-11 19:15:00,3050,30500
437,1,10,2024-06-24 22:30:00,2890,28900
438,2,7,2024-06-08 19:45:00,1850,18500
439,1,10,2024-06-02 21:15:00,3450,34500
440,3,1,2024-06-15 19:30:00,2450,24500
441,3,10,2024-06-28 19:45:00,1950,19500
442,4,4,2024-06-06 21:15:00,3850,38500
443,3,1,2024-06-20 18:30:00,4750,47500
444,2,7,2024-06-12 21:45:00,2700,27000
445,3,9,2024-06-23 20:00:00,3690,36900
446,2,4,2024-06-09 20:30:00,4640,46400
447,4,6,2024-06-27 19:15:00,3050,30500
448,1,10,2024-06-03 22:30:00,2890,28900
449,2,7,2024-06-16 19:45:00,1850,18500
450,1,10,2024-06-29 21:15:00,3450,34500
451,3,1,2024-06-07 19:30:00,2450,24500
452,3,10,2024-06-21 19:45:00,1950,19500
453,4,4,2024-06-30 21:15:00,3850,38500
454,3,1,2024-06-13 18:30:00,4750,47500
455,2,7,2024-06-22 21:45:00,2700,27000
456,3,9,2024-06-25 20:00:00,3690,36900
457,2,4,2024-06-04 20:30:00,4640,46400
458,4,6,2024-06-18 19:15:00,3050,30500
459,1,10,2024-06-11 22:30:00,2890,28900
460,2,7,2024-06-24 19:45:00,1850,18500
461,1,10,2024-06-08 21:15:00,3450,34500
462,3,1,2024-06-26 19:30:00,2450,24500
463,3,10,2024-06-09 19:45:00,1950,19500
464,4,4,2024-06-27 21:15:00,3850,38500
465,3,1,2024-06-05 18:30:00,4750,47500
466,2,7,2024-06-01 21:45:00,2700,27000
467,3,9,2024-06-10 20:00:00,3690,36900
468,2,4,2024-06-19 20:30:00,4640,46400
469,4,6,2024-06-08 19:15:00,3050,30500
470,1,10,2024-06-02 22:30:00,2890,28900
471,2,7,2024-06-15 19:45:00,1850,18500
472,1,10,2024-06-28 21:15:00,3450,34500
473,3,1,2024-06-06 19:30:00,2450,24500
474,3,10,2024-06-20 19:45:00,1950,21450
